State,License_Plate,VIN,Make_Name,Model_Name,Trim_Year,Trim_Name,Trim_Description,Engine_Type,Engine_Fuel_Type,Engine_Cylinders,Engine_Size,Engine_Cam_Type,Engine_Drive_Type,Engine_Transmission,Body_Type,Mileage_Fuel_Tank_Capacity
New York,LGE 5082Y,3Q89Z199044S493252,Acura,MDX,2020,SH-AWD,SH-AWD 4dr SUV AWD w/Technology and Entertainment Packages (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
New York,SFU 3370D,2Q10Y590110C398600,Acura,MDX,2020,SH-AWD,SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
New York,XXP 1312K,6Q81E955720U491160,Acura,MDX,2020,SH-AWD,SH-AWD 4dr SUV AWD (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
New York,UEE 9926I,3U73W867351B726035,Acura,MDX,2020,SH-AWD A-Spec,SH-AWD A-Spec 4dr SUV AWD (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
New York,BEO 2701N,5O71W110440Y279596,Acura,MDX,2020,SH-AWD PMC Edition,SH-AWD PMC Edition 4dr SUV AWD (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
New York,ZJQ 3987B,7J40R544354Y934572,Acura,MDX,2020,Sport Hybrid SH-AWD,Sport Hybrid SH-AWD 4dr SUV AWD w/Technology Package (3.0L 6cyl gas/electric hybrid 7AM),hybrid,93 (Premium),V6,3,Single overhead cam (SOHC),all wheel drive,7-speed automated manual,SUV,19.4
New York,HUV 3406P,6D21M792703P462459,Acura,MDX,2020,Sport Hybrid SH-AWD,Sport Hybrid SH-AWD 4dr SUV AWD w/Advance Package (3.0L 6cyl gas/electric hybrid 7AM),hybrid,93 (Premium),V6,3,Single overhead cam (SOHC),all wheel drive,7-speed automated manual,SUV,19.4
New York,OYA 9569X,6M35G243755O589185,Acura,NSX,2020,Base,2dr Coupe AWD (3.5L 6cyl Turbo gas/electric hybrid 9AM),hybrid,93 (Premium),V6,3.5,Double overhead cam (DOHC),all wheel drive,9-speed automated manual,Coupe,15.6
New York,ZIT 8171J,7Q42R663570D443446,Acura,RDX,2020,A-Spec,A-Spec 4dr SUV (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,10-speed shiftable automatic,SUV,17.1
New York,WOR 8549W,4N12H262394N436543,Acura,RDX,2020,Base,4dr SUV w/Advance Package (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,10-speed shiftable automatic,SUV,17.1
New York,EET 3402Y,3G97Z312142K401442,Acura,RDX,2020,Base,4dr SUV w/Technology Package (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,10-speed shiftable automatic,SUV,17.1
New York,KWL 8426H,7X99L394063R951280,Acura,RDX,2020,Base,4dr SUV (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,10-speed shiftable automatic,SUV,17.1
New York,ZLN 5236Y,6S77U555890V743941,Acura,RDX,2020,SH-AWD,SH-AWD 4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,10-speed shiftable automatic,SUV,17.1
New York,OOI 6336S,5J48P476104J893466,Acura,RDX,2020,SH-AWD,SH-AWD 4dr SUV AWD w/Advance Package (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,10-speed shiftable automatic,SUV,17.1
New York,VNF 5140W,5H58Q357766A334841,Acura,RDX,2020,SH-AWD,SH-AWD 4dr SUV AWD (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,10-speed shiftable automatic,SUV,17.1
New York,ZKU 9067U,7P55T722896V929542,Acura,RDX,2020,SH-AWD A-Spec,SH-AWD A-Spec 4dr SUV AWD (2.0L 4cyl Turbo 10A),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,10-speed shiftable automatic,SUV,17.1
New York,XPY 9289X,9G61U825486O430862,Acura,RLX,2020,P-AWS,P-AWS 4dr Sedan (3.5L 6cyl 10A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,10-speed shiftable automatic,Sedan,18.5
New York,UTL 6298U,3P85V855228M672267,Acura,RLX,2020,Sport Hybrid SH-AWD,Sport Hybrid SH-AWD 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM),hybrid,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,7-speed automated manual,Sedan,15.1
New York,NNP 4457K,3G36B147548O735807,Acura,TLX,2020,A-Spec,A-Spec 4dr Sedan w/Red Leather (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,17.2
New York,GEH 9885Y,4V85O701790U421210,Acura,TLX,2020,A-Spec,A-Spec 4dr Sedan (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,WMT 9434O,6J65C106138M261874,Acura,TLX,2020,A-Spec,A-Spec 4dr Sedan w/Red Leather (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,IRG 3611F,1K59V766421C515040,Acura,TLX,2020,A-Spec,A-Spec 4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,17.2
New York,HJI 7455H,4G84E792235B316628,Acura,TLX,2020,Base,4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,17.2
New York,RBS 4066Y,1S77G497746N555799,Acura,TLX,2020,Base,4dr Sedan w/Technology Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,AFI 7191Y,5U61R216554U451042,Acura,TLX,2020,Base,4dr Sedan w/Technology Package (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,17.2
New York,TCY 6062W,3W41B713953G970516,Acura,TLX,2020,Base,4dr Sedan (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,XDK 4867A,5S22V223391K519462,Acura,TLX,2020,SH-AWD,SH-AWD 4dr Sedan AWD (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,WUB 6951T,7J86U292574N763552,Acura,TLX,2020,SH-AWD,SH-AWD 4dr Sedan AWD w/Technology Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,DKN 8126Q,2I78Y846911O487189,Acura,TLX,2020,SH-AWD,SH-AWD 4dr Sedan AWD w/Advance Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,WCI 3994M,4V16V349120L274590,Acura,TLX,2020,SH-AWD A-Spec,SH-AWD A-Spec 4dr Sedan AWD (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,LYW 4408D,4I35I360123H118671,Acura,TLX,2020,SH-AWD A-Spec,SH-AWD A-Spec 4dr Sedan AWD w/Red Leather (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,RPN 1076Y,3J58X960763V448844,Acura,TLX,2020,SH-AWD PMC Edition,SH-AWD PMC Edition 4dr Sedan AWD (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,Sedan,17.2
New York,KCV 8832R,1X63T172155B608772,Alfa Romeo,4C,2020,Spider,Spider 2dr Coupe (1.7L 4cyl Turbo 6AM),gas,93 (Premium),I4,1.7,Double overhead cam (DOHC),rear wheel drive,6-speed automated manual,Coupe,10.5
New York,BHZ 3158B,3R21F476307Y831846,Alfa Romeo,Giulia,2020,Base,4dr Sedan AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,XBJ 4229B,8L27A278505M836178,Alfa Romeo,Giulia,2020,Base,4dr Sedan (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,DRG 1152H,6H93E879970E776099,Alfa Romeo,Giulia,2020,Quadrifoglio,Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),gas,93 (Premium),V6,2.9,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,RYV 5803N,8R18R966172N315167,Alfa Romeo,Giulia,2020,Sport,Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,ZNM 7203S,7M25S623617T301778,Alfa Romeo,Giulia,2020,Sport,Sport 4dr Sedan (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,LMY 6175J,1X71F362915R384700,Alfa Romeo,Giulia,2020,Ti,Ti 4dr Sedan (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,OJX 6667S,5F91A341553E821449,Alfa Romeo,Giulia,2020,Ti,Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,TET 1795V,7M35C668798N944538,Alfa Romeo,Giulia,2020,Ti Lusso,Ti Lusso 4dr Sedan (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,GMZ 5872N,5S39N671446L468305,Alfa Romeo,Giulia,2020,Ti Lusso,Ti Lusso 4dr Sedan AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,DBV 1074M,8L96Z666475R898863,Alfa Romeo,Giulia,2020,Ti Sport,Ti Sport 4dr Sedan (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,ZAO 9617F,3W12E363365J353330,Alfa Romeo,Giulia,2020,Ti Sport,Ti Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,DVD 4974H,8V99S943793N574328,Alfa Romeo,Giulia,2020,Ti Sport Carbon,Ti Sport Carbon 4dr Sedan (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,AYN 2879X,4T48Z417788R589861,Alfa Romeo,Giulia,2020,Ti Sport Carbon,Ti Sport Carbon 4dr Sedan AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,Sedan,15.3
New York,FZO 2067V,2E14M390843W464670,Alfa Romeo,Stelvio,2020,Base,4dr SUV (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,SUV,16.9
New York,CTU 7121V,2B24T574096O460076,Alfa Romeo,Stelvio,2020,Base,4dr SUV AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,LLM 3263Y,4Q83X802765Q677052,Alfa Romeo,Stelvio,2020,Quadrifoglio,Quadrifoglio 4dr SUV AWD (2.9L 6cyl Turbo 8A),gas,93 (Premium),V6,2.9,Double overhead cam (DOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,SPY 7567G,6P33P983104W294204,Alfa Romeo,Stelvio,2020,Sport,Sport 4dr SUV (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),rear wheel drive,8-speed shiftable automatic,SUV,16.9
New York,KEK 9741D,1N69C518124P479516,Alfa Romeo,Stelvio,2020,Sport,Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,NNC 3113E,4H56W124547C946787,Alfa Romeo,Stelvio,2020,Ti,Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,NSI 1695Q,8W44Z763252K277810,Alfa Romeo,Stelvio,2020,Ti Lusso,Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,RQI 5763F,1G39G364968Z901090,Alfa Romeo,Stelvio,2020,Ti Sport,Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,JRY 4687W,2D13X409449Q793510,Alfa Romeo,Stelvio,2020,Ti Sport Carbon,Ti Sport Carbon 4dr SUV AWD (2.0L 4cyl Turbo 8A),gas,93 (Premium),I4,2,Single overhead cam (SOHC),all wheel drive,8-speed shiftable automatic,SUV,16.9
New York,NLP 2207L,9V53M282789W826902,Aston Martin,DB11,2020,AMR,AMR 2dr Coupe (5.2L 12cyl Turbo 8A),gas,93 (Premium),V12,5.2,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Coupe,20.5
New York,URL 3689Z,4L39K193164A197259,Aston Martin,DB11,2020,V8,V8 2dr Coupe (4.0L 8cyl Turbo 8A),gas,93 (Premium),V8,4,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Coupe,20.5
New York,KVZ 3024Y,6U56N994803R142369,Aston Martin,DB11,2020,V8 Volante,V8 Volante 2dr Convertible (4.0L 8cyl Turbo 8A),gas,93 (Premium),V8,4,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Convertible,20.5
New York,FQC 6256L,5Z17Y541337E577648,Aston Martin,DBS Superleggera,2020,Base,2dr Coupe (5.2L 12cyl Turbo 8A),gas,93 (Premium),V12,5.2,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Coupe,
New York,RLU 7777U,6L75O132371C674318,Aston Martin,DBS Superleggera,2020,Volante,Volante 2dr Convertible (5.2L 12cyl Turbo 8A),gas,93 (Premium),V12,5.2,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Convertible,
New York,TUD 9215K,5Z71B874168B501036,Aston Martin,Vantage,2020,AMR 59 Edition,AMR 59 Edition 2dr Coupe (4.0L 8cyl Turbo 7M),gas,93 (Premium),V8,4,Double overhead cam (DOHC),rear wheel drive,7-speed manual,Coupe,19.3
New York,MMD 8693Z,4G77N233007D670809,Aston Martin,Vantage,2020,AMR Hero,AMR Hero 2dr Coupe (4.0L 8cyl Turbo 7M),gas,93 (Premium),V8,4,Double overhead cam (DOHC),rear wheel drive,7-speed manual,Coupe,19.3
New York,ZSB 9303N,9B66O553018E350373,Aston Martin,Vantage,2020,Base,2dr Coupe (4.0L 8cyl Turbo 8A),gas,93 (Premium),V8,4,Double overhead cam (DOHC),rear wheel drive,8-speed shiftable automatic,Coupe,19.3
New York,EBH 7053P,9M24W863850B480767,Audi,A3,2020,Premium Plus S line,Premium Plus S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),gas,87 (Regular),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,14.5
New York,GSM 1795H,4O84O510491J905999,Audi,A3,2020,Premium S line,Premium S line 4dr Sedan AWD (2.0L 4cyl Turbo 7AM),gas,87 (Regular),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,14.5
New York,JRE 3947K,5L65D190423B186141,Audi,A3,2020,Sport Premium,Sport Premium 4dr Sedan (2.0L 4cyl Turbo 7AM),gas,87 (Regular),I4,2,Double overhead cam (DOHC),front wheel drive,7-speed automated manual,Sedan,13.2
New York,OFW 8879Y,4R18T353341E869807,Audi,A3,2020,Sport Premium Plus,Sport Premium Plus 4dr Sedan (2.0L 4cyl Turbo 7AM),gas,87 (Regular),I4,2,Double overhead cam (DOHC),front wheel drive,7-speed automated manual,Sedan,13.2
New York,VAQ 7328X,9H41N608033V118766,Audi,A4,2020,Premium,Premium 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,7-speed automated manual,Sedan,15.3
New York,LZF 1157R,1C47O961357P412178,Audi,A4,2020,Premium,Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,15.3
New York,GCW 5318D,4C62J355227O999378,Audi,A4,2020,Premium Plus,Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,15.3
New York,UJL 6103Z,1E75W735482I836531,Audi,A4,2020,Premium Plus,Premium Plus 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,7-speed automated manual,Sedan,15.3
New York,BZF 3039Q,2I19C319967J514931,Audi,A4,2020,Prestige,Prestige 4dr Sedan w/40 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),front wheel drive,7-speed automated manual,Sedan,15.3
New York,TOS 6184C,5I72H111389S175557,Audi,A4,2020,Prestige,Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,15.3
New York,HHP 2662H,5L13L254574K906270,Audi,A4 allroad,2020,Premium,Premium 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Wagon,15.3
New York,XUD 3310J,3V47Y963182F155203,Audi,A4 allroad,2020,Premium Plus,Premium Plus 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Wagon,15.3
New York,RNS 1853Q,6R31R833978D594224,Audi,A4 allroad,2020,Prestige,Prestige 4dr Wagon AWD w/2.0 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Wagon,15.3
New York,GTW 9331K,6N61I213516R761922,Audi,A5,2020,Premium,Premium 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Convertible,15.3
New York,LMF 1776Y,2K86U346343L462212,Audi,A5,2020,Premium,Premium 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Coupe,15.3
New York,VDI 7045F,9T55J779964O129256,Audi,A5,2020,Premium,Premium 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Hatchback,15.3
New York,KWJ 5971U,5I55P182116A886542,Audi,A5,2020,Premium Plus,Premium Plus 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Hatchback,15.3
New York,ESM 8713L,9B55C933819U699890,Audi,A5,2020,Premium Plus,Premium Plus 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Convertible,15.3
New York,NTN 5981L,4Q16A475574R703114,Audi,A5,2020,Premium Plus,Premium Plus 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Coupe,15.3
New York,HUB 5723W,7K28Q399127X307630,Audi,A5,2020,Prestige,Prestige 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Hatchback,15.3
New York,VYP 6806F,3Q63P519586T797804,Audi,A5,2020,Prestige,Prestige 2dr Coupe AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Coupe,15.3
New York,WQB 1192U,7H71U166677C269877,Audi,A5,2020,Prestige,Prestige 2dr Convertible AWD w/45 TFSI (2.0L 4cyl Turbo 7AM),gas,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Convertible,15.3
New York,OAC 7528V,8Q56Y779601Z891285,Audi,A6,2020,Premium,Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,19.3
New York,XYP 8705Z,9H11U726786Y613566,Audi,A6,2020,Premium,Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),V6,3,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,19.3
New York,CQZ 8987N,9S19S627473W998170,Audi,A6,2020,Premium Plus,Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,19.3
New York,CMV 3680O,8J67W343801V860146,Audi,A6,2020,Premium Plus,Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),V6,3,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,19.3
New York,KSQ 5702Z,9I88O417865S300772,Audi,A6,2020,Prestige,Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),V6,3,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,19.3
New York,SFS 9461B,4E89V937100V337581,Audi,A6,2020,Prestige,Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),I4,2,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Sedan,19.3
New York,QIF 7324Y,1D97D675959J173725,Audi,A6 allroad,2020,Premium Plus,Premium Plus 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),V6,3,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Wagon,19.3
New York,SSI 9825W,4T82F688594J840312,Audi,A6 allroad,2020,Prestige,Prestige 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),mild hybrid,93 (Premium),V6,3,Double overhead cam (DOHC),all wheel drive,7-speed automated manual,Wagon,19.3
